"","X","Fecha","Titulo.Comunicado","Link","ID","Autor","Autor_G","name"
"40",39,"2017-02-02","Emergencia Humanitaria En Zona Veredal Charras En San José Del Guaviare","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-emergencia-humanitaria-en-zona-veredal-charras-en-san-jose-del-guaviare-html.html",383,"zvtn cooperativa vista hermosa meta","otros","2017-02-02_383.txt"
"41",40,"2017-01-31","Precarias Condiciones En Zona Veredal Cooperativa de Vista Hermosa Meta","http://www.farc-ep.co/comunicado/precarias-condiciones-en-zona-veredal-cooperativa-de-vista-hermosa-meta.html",382,"bloque sur","otros","2017-01-31_382.txt"
"42",41,"2017-01-30","EL BLOQUE SUR INICIA SU MARCHA, ACOMPAÑÉMOSLO EN SU RECORRIDO","http://www.farc-ep.co/comunicado/el-bloque-sur-inicia-su-marcha-acompanemoslo-en-su-recorrido.html",381,"frente 18","otros","2017-01-30_381.txt"
"43",42,"2017-01-29","Paramilitares Amenazan Pobladores Cerca A Zona Veredal De Ituango","http://www.farc-ep.co/comunicado/http-www-farc-ep-co-comunicado-http-www-farc-ep-co-administrator-index-php-option-com-k2-view-item-cid-1629-html.html",380,"consejo nacional de reincorporación","otros","2017-01-29_380.txt"
"44",43,"2017-01-26","Listo El Plan Para Sustitución Voluntaria De Cultivos De Uso Ilícito","http://www.farc-ep.co/comunicado/listo-el-plan-para-sustitucion-voluntaria-de-cultivos-de-uso-ilicito.html",379,"administrador","otros","2017-01-26_379.txt"
"45",44,"2017-01-25","Comunicado No. 01  Consejo Nacional De Reincorporación (CNR)","http://www.farc-ep.co/comunicado/comunicado-no-01-consejo-nacional-de-reincorporacion-cnr.html",378,"estado mayor central de las farc-ep","otros","2017-01-25_378.txt"
"46",45,"2017-01-22","Declaración Política Pleno Del Estado Mayor Central De Las FARC-EP","http://www.farc-ep.co/comunicado/declaracion-politica-pleno-del-estado-mayor-central-de-las-farc-ep.html",377,"estado mayor de las farc-ep","otros","2017-01-22_377.txt"
"47",46,"2017-01-19","Carta Abierta A Simón Trinidad","http://www.farc-ep.co/comunicado/carta-abierta-a-simon-trinidad.html",376,"estado mayor bloque occidental comandante alfonso cano de las farc-ep.","otros","2017-01-19_376.txt"
"48",47,"2017-01-18","Comunicado A La Opinión Pública: Las FARC-EP Se Solidarizan Con Familia De La Señora Emilsen Manyoma","http://www.farc-ep.co/comunicado/comunicado-a-la-opinion-publica-las-farc-ep-se-solidarizan-con-familia-de-la-senora-emilsen-manyoma.html",375,"comando zona transitoria veredal de normalización de icononzo.","otros","2017-01-18_375.txt"
"49",48,"2017-01-10","Comunicado: Zona Veredal De Icononzo Rechaza Rotundamente Falsas Acusaciones","http://www.farc-ep.co/comunicado/comunicado-zona-veredal-de-icononzo-rechaza-rotundamente-falsas-acusaciones.html",374,"secretariado nacional de las farc-ep","secretariado","2017-01-10_374.txt"
"50",49,"2017-01-05","Desmentimos Falsas Acusaciones Que Nos Vinculan Con Mafias Brasileñas","http://www.farc-ep.co/comunicado/desmentimos-falsas-acusaciones-que-nos-vinculan-con-mafias-brasilenas.html",373,"unidad centro del bloque magdalena medio farc – ep","otros","2017-01-05_373.txt"
"51",50,"2017-01-03","Sobre El Reciente Bombardeo A Los Compañeros Del ELN","http://www.farc-ep.co/comunicado/sobre-el-reciente-bombardeo-a-los-companeros-del-eln.html",372,"estado mayor central de las farc-ep","otros","2017-01-03_372.txt"
"52",51,"2016-12-30","Saludo De Las FARC-EP Al Pueblo Colombiano","http://www.farc-ep.co/comunicado/saludo-de-las-farc-ep-al-pueblo-colombiano.html",371,"comisión internacional de las farc-ep","otros","2016-12-30_371.txt"
"53",52,"2016-12-29","Saludos De Las FARC-EP A Los Pueblos y Gobiernos Del Mundo","http://www.farc-ep.co/comunicado/saludos-de-las-farc-ep-a-los-pueblos-y-gobiernos-del-mundo.html",370,"el gobierno nacional y las farc-ep","otros","2016-12-29_370.txt"
"54",53,"2016-12-28","Comunicado Conjunto #10 Del Gobierno Nacional y las FARC-EP","http://www.farc-ep.co/comunicado/comunicado-conjunto-10-del-gobierno-nacional-y-las-farc-ep.html",369,"estado mayor central de las farc-ep","otros","2016-12-28_369.txt"
"55",54,"2016-12-27","Sobre Las Absurdas e Infames Declaraciones Del Gobernador De Antioquia Luis Pérez Gutiérrez","http://www.farc-ep.co/comunicado/sobre-las-absurdas-e-infames-declaraciones-del-gobernador-de-antioquia-luis-perez-gutierrez.html",368,"comando de dirección del ppt de vista hermosa","otros","2016-12-27_368.txt"
"56",55,"2016-12-21","Denuncia Pública Sobre Hechos Violatorios Del CFHBD Por Parte De La Fuerza Pública","http://www.farc-ep.co/comunicado/denuncia-publica-sobre-hechos-violatorios-del-cfhbd-por-parte-de-la-fuerza-publica-1.html",367,"secretariado nacional de las farc-ep","secretariado","2016-12-21_367.txt"
"57",56,"2016-12-19","Las FARC-EP rechaza el asesinato del embajador ruso en Turquía, Andréi Kárlov","http://www.farc-ep.co/comunicado/las-farc-ep-rechaza-el-asesinato-del-embajador-ruso-en-turquia-andrei-karlov.html",366,"farc-ep","otros","2016-12-19_366.txt"
"58",57,"2016-12-13","FARC-EP separa a 5 mandos de sus filas","http://www.farc-ep.co/comunicado/farc-ep-separa-a-5-mandos-de-sus-filas.html",365,"comando del punto de pre-agrupamiento de san miguel, el retorno, guaviare","otros","2016-12-13_365.txt"
"59",58,"2016-12-08","Paramilitares En El Guaviare","http://www.farc-ep.co/comunicado/paramilitares-en-el-guaviare.html",364,"secretariado nacional de las farc-ep","secretariado","2016-12-08_364.txt"
"60",59,"2016-12-04","FARC-EP hacen reconocimiento público de responsabilidades frente a familiares de los 12 diputados del Valle","http://www.farc-ep.co/comunicado/farc-ep-hacen-reconocimiento-publico-de-responsabilidades-a-familiares-de-los-12-diputados-del-valle.html",363,"farc-ep","otros","2016-12-04_363.txt"
"61",60,"2016-12-01","COMUNICADO CONJUNTO #8","http://www.farc-ep.co/comunicado/comunicado-conjunto-8.html",362,"farc-ep","otros","2016-12-01_362.txt"
"62",61,"2016-11-30","Carta pública a señores Facebook Colombia","http://www.farc-ep.co/comunicado/carta-a-senores-facebook-colombia.html",361,"timoleón jiménez","otros","2016-11-30_361.txt"
"63",62,"2016-11-26","Ante la partida del Comandante Fidel Castro Ruz","http://www.farc-ep.co/comunicado/ante-la-partida-del-comandante-fidel-castro-ruz.html",360,"secretariado nacional de las farc-ep","secretariado","2016-11-26_360.txt"
"64",63,"2016-11-26","Honores a Fidel, profeta de la aurora","http://www.farc-ep.co/comunicado/honores-a-fidel-profeta-de-la-aurora.html",359,"farc-ep","otros","2016-11-26_359.txt"
"65",64,"2016-11-26","Constancia de las FARC respecto a las definiciones y responsabilidades de los Agentes del Estado en la JEP","http://www.farc-ep.co/comunicado/constancia-de-las-farc-respecto-a-las-definiciones-y-responsabilidades-de-los-agentes-del-estado-en-la-jep.html",358,"farc-ep","otros","2016-11-26_358.txt"
"66",65,"2016-11-25","En recuerdo del camarada Marcos Ana","http://www.farc-ep.co/comunicado/en-recuerdo-del-camarada-marcos-ana.html",357,"secretariado nacional de las farc-ep","secretariado","2016-11-25_357.txt"
"67",66,"2016-11-24","Que la palabra sea la única arma de los colombianos","http://www.farc-ep.co/comunicado/que-la-palabra-sea-la-unica-arma-de-los-colombianos-1.html",356,"farc-ep","otros","2016-11-24_356.txt"
"68",67,"2016-11-24","Comunicado Conjunto # 7","http://www.farc-ep.co/comunicado/comunicado-conjunto-7.html",355,"farc-ep","otros","2016-11-24_355.txt"
"69",68,"2016-11-22","Comunicado Conjunto #6","http://www.farc-ep.co/comunicado/comunicado-conjunto-6.html",354,"secretariado nacional de las farc-ep","secretariado","2016-11-22_354.txt"
"70",69,"2016-11-21","Carta abierta al Señor Presidente: Juan Manuel Santos","http://www.farc-ep.co/comunicado/carta-abierta-al-senor-presidente-juan-manuel-santos.html",353,"administrador","otros","2016-11-21_353.txt"
"71",70,"2016-11-20","Comunicado Del Comando Del Punto De Preagrupamiento Guerrillero Temporal De La Zona Del El Tigre Y Buenavista","http://www.farc-ep.co/comunicado/comunicado-del-comando-del-punto-de-preagrupamiento-guerrillero-temporal-de-la-zona-del-el-tigre-y-buenavista.html",352,"punto de preagrupamiento temporal el diamante","otros","2016-11-20_352.txt"
"72",71,"2016-11-18","A Los Familiares Del Compañero Erley Monroy","http://www.farc-ep.co/comunicado/a-los-familiares-del-companero-erley-monroy.html",351,"farc-ep","otros","2016-11-18_351.txt"
"73",72,"2016-11-15","El nuevo acuerdo de paz y de esperanza.","http://www.farc-ep.co/comunicado/el-nuevo-acuerdo-de-paz-y-de-esperanza.html",350,"farc-ep","otros","2016-11-15_350.txt"
"74",73,"2016-11-14","Comunicado Conjunto No. 5","http://www.farc-ep.co/comunicado/comunicado-conjunto-no-5.html",349,"mesa de conversaciones","otros","2016-11-14_349.txt"
"75",74,"2016-11-12","Comunicado conjunto | Firma del Acuerdo final","http://www.farc-ep.co/comunicado/comunicados-conjunto-firma-del-acuerdo-final.html",348,"farc-ep","otros","2016-11-12_348.txt"
"76",75,"2016-11-12","Comunicado de prensa Pacto Juvenil y Delegación de Paz FARC-EP","http://www.farc-ep.co/comunicado/comunicado-de-prensa-pacto-juvenil-y-delegacion-de-las-farc-ep.html",347,"farc-ep","otros","2016-11-12_347.txt"
"77",76,"2016-11-12","Discurso de cierre del Acuerdo Definitivo de Paz de las FARC-EP","http://www.farc-ep.co/comunicado/discurso-de-cierre-del-acuerdo-definitivo-de-paz.html",346,"secretariado nacional de las farc-ep","secretariado","2016-11-12_346.txt"
"78",77,"2016-11-05","Saludo a las y los policías de Colombia en su día","http://www.farc-ep.co/comunicado/saludo-a-los-todos-los-policias-de-colombia-en-su-dia.html",345,"delegación de paz de las farc-ep","otros","2016-11-05_345.txt"
"79",78,"2016-11-02","FARC-EP rechaza el infame asesinato del lider John Jairo Rodríguez Torres","http://www.farc-ep.co/comunicado/farc-ep-rechaza-el-infame-asesinato-del-lider-john-jairo-rodriguez-torres.html",344,"las delegaciones de paz del gobierno nacional y de las farc-ep","otros","2016-11-02_344.txt"
"80",79,"2016-10-27","Comunicado Conjunto No. 03","http://www.farc-ep.co/comunicado/comunicado-conjunto-no-03.html",343,"secretariado nacional de las farc-ep","secretariado","2016-10-27_343.txt"
"81",80,"2016-10-16","15 de octubre día nacional del prisionero político, historia de resistencia y dignidad","http://www.farc-ep.co/comunicado/15-de-octubre-dia-nacional-del-prisionero-politico-historia-de-resistencia-y-dignidad.html",342,"farc-ep","otros","2016-10-16_342.txt"
"82",81,"2016-10-14","La paz no se detiene","http://www.farc-ep.co/comunicado/la-paz-no-se-detiene.html",341,"secretariado nacional de las farc-ep","secretariado","2016-10-14_341.txt"
"83",82,"2016-10-11","Saludamos respaldo ciudadano al Acuerdo Final","http://www.farc-ep.co/comunicado/saludamos-respaldo-ciudadano-al-acuerdo-final.html",340,"secretariado nacional de las farc-ep","secretariado","2016-10-11_340.txt"
"84",83,"2016-10-10","Saludamos inicio de fase pública de diálogos entre el Gobierno Nacional y el Ejército de Liberación Nacional.","http://www.farc-ep.co/comunicado/saludamos-inicio-de-fase-publica-de-dialogos-entre-el-gobierno-nacional-y-el-ejercito-de-liberacion-nacional.html",339,"timoleón jiménez","otros","2016-10-10_339.txt"
"85",84,"2016-10-08","Ganar la paz es la gran victoria de todos los colombianos.","http://www.farc-ep.co/comunicado/ganar-la-paz-es-la-gran-victoria-de-todos-los-colombianos.html",338,"secretariado nacional de las farc-ep","secretariado","2016-10-08_338.txt"
"86",85,"2016-10-08","El Che vive, invitando a la lucha, inspirando un nuevo amanecer","http://www.farc-ep.co/comunicado/el-che-vive-invitando-a-la-lucha-inspirando-un-nuevo-amanecer.html",337,"secretariado nacional de las farc-ep","secretariado","2016-10-08_337.txt"
"87",86,"2016-10-03","La paz llegó para quedarse","http://www.farc-ep.co/comunicado/la-paz-llego-para-quedarse.html",336,"secretariado nacional de las farc-ep","secretariado","2016-10-03_336.txt"
"88",87,"2016-10-02","Al pueblo colombiano que sueña con la paz que cuente con nosotros.","http://www.farc-ep.co/comunicado/comunicado-de-las-farc-ep-1.html",335,"farc-ep","otros","2016-10-02_335.txt"
"89",88,"2016-10-01","FARC-EP procederá a declarar economía de guerra","http://www.farc-ep.co/comunicado/farc-ep-procedera-a-declarar-economia-de-guerra.html",334,"secretariado del estado mayor central de las farc-ep","secretariado","2016-10-01_334.txt"
"90",89,"2016-09-30","Perdón, Bojayá","http://www.farc-ep.co/comunicado/perdon-bojaya.html",333,"secretariado del estado mayor central de las farc-ep","secretariado","2016-09-30_333.txt"
"91",90,"2016-09-30","Perdón, Chinita","http://www.farc-ep.co/comunicado/perdon-chinita.html",332,"timoleón jiménez","otros","2016-09-30_332.txt"
"92",91,"2016-09-26","Nuestra única arma será la palabra","http://www.farc-ep.co/comunicado/nuestra-unica-arma-sera-la-palabra.html",331,"secretariado del estado mayor central de las farc-ep","secretariado","2016-09-26_331.txt"
"93",92,"2016-09-23","Declaración Política de la X Conferencia Nacional Guerrillera – Comandante Manuel Marulanda Vélez","http://www.farc-ep.co/comunicado/declaracion-politica-de-la-x-conferencia-nacional-guerrillera-comandante-manuel-marulanda-velez.html",330,"timoleón jiménez","otros","2016-09-23_330.txt"
"94",93,"2016-09-17","Palabras de instalación del Comandante Timoleón Jiménez en la X Conferencia Nacional Guerrillera","http://www.farc-ep.co/comunicado/palabras-de-instalacion-del-comandante-timoleon-jimenez-en-la-x-conferencia-nacional-guerrillera.html",329,"el gobierno nacional y las farc-ep","otros","2016-09-17_329.txt"
"95",94,"2016-09-14","Comunicado Conjunto No. 01, Reunión entre Gobierno Nacional y FARC-EP en el Yarí","http://www.farc-ep.co/comunicado/comunicado-conjunto-no-01-reunion-entre-gobierno-nacional-y-farc-ep-en-el-yari.html",328,"secretariado nacional de las farc-ep","secretariado","2016-09-14_328.txt"
"96",95,"2016-09-08","Las Garantías de Seguridad deben implementarse ya","http://www.farc-ep.co/comunicado/farc-ep-rechaza-el-asesinato-de-la-lider-cecilia-coicue.html",327,"secretariado nacional de las farc-ep","secretariado","2016-09-08_327.txt"
"97",96,"2016-08-30","Algunas precisiones necesarias","http://www.farc-ep.co/comunicado/algunas-precisiones-necesarias.html",326,"secretariado del estado mayor central de las farc-ep","secretariado","2016-08-30_326.txt"
"98",97,"2016-08-12","A Fidel en el 90 aniversario de su nacimiento","http://www.farc-ep.co/comunicado/a-fidel-en-el-90-aniversario-de-su-nacimiento.html",325,"secretariado nacional de las farc-ep","secretariado","2016-08-12_325.txt"
"99",98,"2016-08-09","26 años de la partida de Jacobo Arenas","http://www.farc-ep.co/comunicado/26-anos-de-la-partida-de-jacobo-arenas.html",324,"secretariado nacional de las farc-ep","secretariado","2016-08-09_324.txt"
"100",99,"2016-07-26","Saludo de las FARC-EP al Gobierno, al Partido y al pueblo de Cuba con ocasión del 26 de Julio","http://www.farc-ep.co/comunicado/saludo-de-las-farc-ep-al-gobierno-al-partido-y-al-pueblo-de-cuba-con-ocasion-del-26-de-julio.html",323,"secretariado nacional de las farc-ep","secretariado","2016-07-26_323.txt"
"101",100,"2016-07-06","Fin de las medidas de tributación de las FARC-EP","http://www.farc-ep.co/comunicado/fin-de-las-medidas-de-tributacion-de-las-farc-ep.html",322,"secretariado nacional de las farc-ep","secretariado","2016-07-06_322.txt"
"102",101,"2016-07-05","Condolencias a Iván Márquez por muerte de su madre","http://www.farc-ep.co/comunicado/nuestras-condolencias-a-ivan-marquez-y-a-su-familia-por-muerte-de-su-senora-madre.html",321,"secretariado nacional de las farc-ep","secretariado","2016-07-05_321.txt"
"103",102,"2016-06-23","Que éste sea el último día de la guerra","http://www.farc-ep.co/comunicado/que-este-sea-el-ultimo-dia-de-la-guerra.html",320,"secretariado nacional de las farc-ep","secretariado","2016-06-23_320.txt"
"104",103,"2016-06-11","FARC-EP se solidarizan con familias de las víctimas en Orlando, Florida","http://www.farc-ep.co/comunicado/farc-ep-se-solidarizan-con-victimas-de-masacre-en-orlando-florida.html",319,"secretariado nacional de las farc-ep","secretariado","2016-06-11_319.txt"
"105",104,"2016-05-29","Informamos sobre la muerte del Camarada Bernardo Peñaloza","http://www.farc-ep.co/comunicado/informamos-muerte-del-camarada-bernardo-penaloza.html",318,"secretariado nacional de las farc-ep","secretariado","2016-05-29_318.txt"
"106",105,"2016-05-25","52 años de lucha por la paz en Colombia","http://www.farc-ep.co/comunicado/52-anos-de-lucha-por-la-paz-en-colombia.html",317,"secretariado nacional de las farc-ep","secretariado","2016-05-25_317.txt"
"107",106,"2016-05-13","El pueblo brasileño sabrá inclinar de nuevo la balanza a su favor","http://www.farc-ep.co/comunicado/el-pueblo-brasileno-sabra-inclinar-de-nuevo-la-balanza-a-su-favor.html",316,"secretariado nacional de las farc-ep","secretariado","2016-05-13_316.txt"
